,Home Odds,Vis Odds,Home Win,Prev Predictions,Current Predictions,Ensemble,Prev Predictions Home Outcome,Prev Predictions Vis Outcome,Current Predictions Home Outcome,Current Predictions Vis Outcome,Ensemble Home Outcome,Ensemble Vis Outcome
87453,1.88,1.97,True,0.503693,0.49629253,0.49999276,0.8799999999999999,0.0,0.0,0.0,0.0,0.0
87454,1.62,2.39,False,0.5637565,0.59371734,0.5787369,-1.0,0.0,1.3900000000000001,-1.0,0.0,0.0
87455,1.68,2.25,True,0.53629434,0.5575405,0.54691744,0.6799999999999999,0.0,0.0,0.0,0.0,0.0
87456,1.73,2.18,True,0.4686856,0.5551426,0.5119141,0.73,0.0,0.0,0.0,0.0,0.0
87457,1.82,2.04,False,0.57461274,0.54888684,0.5617498,-1.0,0.0,0.0,0.0,0.0,0.0
87458,1.58,2.48,True,0.5831375,0.599552,0.5913447,0.5800000000000001,0.0,-1.0,0.5800000000000001,-1.0,0.5800000000000001
87459,1.74,2.15,False,0.49625865,0.5566877,0.52647316,-1.0,0.0,0.0,0.0,0.0,0.0
87460,1.59,2.46,False,0.51060426,0.54109675,0.52585053,-1.0,0.0,0.0,0.0,0.0,0.0
87461,1.78,2.08,True,0.539813,0.5070269,0.52342,0.78,0.0,0.0,0.0,0.0,0.0
87462,1.48,2.73,False,0.60364485,0.59535766,0.59950125,0.0,0.0,1.73,-1.0,1.73,-1.0
87463,2.09,1.79,False,0.5443962,0.5593295,0.55186284,-1.0,0.0,0.0,0.0,0.0,0.0
87464,1.75,2.15,False,0.49627766,0.49435985,0.49531877,-1.0,0.0,0.0,0.0,0.0,0.0
87465,1.98,1.87,False,0.46056563,0.48397726,0.47227144,-1.0,0.0,0.0,0.0,0.0,0.0
87466,1.88,1.98,False,0.46056563,0.48397726,0.47227144,-1.0,0.0,0.0,0.0,0.0,0.0
87467,1.6,2.43,False,0.57795465,0.5722285,0.5750916,-1.0,0.0,0.0,0.0,0.0,0.0
87468,1.71,2.21,False,0.57461274,0.54888684,0.5617498,-1.0,0.0,0.0,0.0,0.0,0.0
87469,1.78,2.12,False,0.56633526,0.5811324,0.5737338,-1.0,0.0,0.0,0.0,0.0,0.0
87470,1.54,2.59,True,0.5399825,0.59725416,0.5686183,0.54,0.0,-1.0,0.54,0.0,0.0
87471,1.69,2.23,True,0.5499858,0.57928747,0.56463665,0.69,0.0,0.0,0.0,0.0,0.0
87472,1.58,2.49,False,0.574386,0.57769763,0.5760418,-1.0,0.0,0.0,0.0,0.0,0.0
